SCC	https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx
SMC	https://www.smchealth.org/coronavirus
Alameda	http://www.acphd.org/2019-ncov.aspx
SF	https://www.sfdph.org/dph/alerts/coronavirus.asp
SantaCruz	http://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx
Marin
ContraCosta
Sonoma
Solano
Mendocino
Napa
